"","Jan2018","Feb2018","Mar2018","Apr2018","May2018","Jun2018","Jul2018","Aug2018","Sep2018","Oct2018","Nov2018","Dec2018"
"010-015",0,0,0,0,0,0,0,0,0,0,0,0
"015-020",0,0,0,0,0,0,0,0,0,0,0,0
"020-025",0,0,0,0,0,0,0,0,0,0,0,0
"025-030",0,0,0,0,0,0,0,0,0,0,0,0
"030-035",0,0,0,0,0,0,0,0,0,0,0,0
"035-040",0,0,0,0,0,0,0,0,0,0,0,0
"040-045",0,0,0,0,0,0,0,0,0,0,0,0
"045-050",0,0,0,0,0,0,0,0,0,0,0,0
"050-055",0,0,0,0,0,0,0,0,0,0,0,0
"055-060",0,0,0,0,0,0,0,0,0,0,0,0
"060-065",0,0,0,0,0,0,0,0,0,0,0,0
"065-070",0,0,0,0,0,0,0,0,0,0,0,0
"070-075",0,0,0,0,0,0,0,0,0,0,0,0
"075-080",0,0,0,0,0,0,0,0,0,0,0,0
"080-085",0,0,0,0,0,0,0,0,0,0,0,0
"085-090",0,0,0,0,0,0,0,0,0,0,0,0
"090-095",0,0,0,0,0,0,0,0,0,0,0,0
"095-100",0,0,0,0,0,0,0,0,0,0,0,0
"100-105",0,0,0,0,0,0,0,0,0,0,0,0
"105-110",0,0,0,0,0,0,0,0,0,0,0,0
"110-115",0,0,0,0,0,0,0,0,0,0,0,0
"115-120",0,0,0,0,0,0,0,0,0,0,0,0
"120-125",0,0,0,0,0,0,0,0,0,0,0,0
"125-130",0,0,0,0,0,0,0,0,0,0,0,0
"130-135",0,0,0,0,0,0,0,0,0,0,0,0
"135-140",0,0,0,0,0,0,0,0,0,0,0,0
"140-145",0,0,0,0,0,0,0,0,0,0,0,0
"145-150",0,0,0,0,0,0,0,0,0,0,0,0
"150-155",0,0,0,0,0,0,0,0,0,0,0,0
"155-160",0,0,0,0,0,0,0,0,0,0,0,0
