,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
010-015,0,0,0,0,0,0,0,0,0,0,0,0
015-020,0,0,0,0,0,0,0,0,0,0,0,0
020-025,0,0,0,0,0,0,0,0,0,0,0,0
025-030,0,0,0,0,0,0,0,0,0,0,0,0
030-035,0,0,0,0,0,0,0,0,0,0,0,0
035-040,0,0,0,0,0,0,0,0,0,0,0,0
040-045,0,0,0,0,0,0,0,0,0,0,0,0
045-050,0.2,0,0,0,0,0,0,0,0,0,0,0
050-055,0.5,0,0,0,0,0,0,0,0,0,0,0
055-060,0.8,0.2,0,0,0,0,0,0,0,0,0,0
060-065,1,0.5,0.2,0,0,0,0,0,0,0,0,0
065-070,1,0.8,0.5,0.2,0,0,0,0,0,0,0,0
070-075,1,1,0.8,0.5,0,0,0,0,0,0,0,0
075-080,1,1,1,0.8,0.2,0,0,0,0,0,0,0
080-085,1,1,1,1,0.5,0.2,0,0,0,0,0,0
085-090,1,1,1,1,0.8,0.5,0.2,0,0,0,0,0
090-095,1,1,1,1,1,0.8,0.5,0.2,0,0,0,0
095-100,1,1,1,1,1,1,0.8,0.5,0.2,0,0,0
100-105,1,1,1,1,1,1,1,0.8,0.5,0.2,0.2,0
105-110,1,1,1,1,1,1,1,1,0.8,0.5,0.5,0.2
110-115,1,1,1,1,1,1,1,1,1,0.8,0.8,0.5
115-120,1,1,1,1,1,1,1,1,1,1,1,0.8
120-125,0.8,1,1,1,1,1,1,1,1,1,1,1
125-130,0.5,0.8,1,1,1,1,1,1,1,1,1,1
130-135,0.2,0.5,0.8,1,1,1,1,1,1,1,1,1
135-140,0,0.2,0.5,0.8,0.8,0.8,1,1,1,1,1,1
140-145,0,0,0.2,0.5,0.5,0.5,1,1,1,1,1,1
145-150,0,0,0,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,1
150-155,0,0,0,0,0,0,0,0,0,0,0,0
