"","Jan2018","Feb2018","Mar2018","Apr2018","May2018","Jun2018","Jul2018","Aug2018","Sep2018","Oct2018","Nov2018","Dec2018"
"010-015",0,0,0,0,0,0,0,0,0,0,0,0
"015-020",0,0,0,0,0,0,0,0,0,0,0,0
"020-025",0,0,0,0,0,0,0,0,0,0,0,0
"025-030",0,0,0,0,0,0,0,0,0,0,0,0
"030-035",0,0,0,0,0,0,0,0,0,0,0,0
"035-040",0,0,0,0,0,0,0,0,0,0,0,0
"040-045",0,0,0,0,0,0,0,0,0,0,0,0
"045-050",0,0,0,0,0,0,0,0,0,0,0,0
"050-055",0,0,0,0,0,0,0,0,1,0,0,0
"055-060",0,2,0,0,2,0,0,0,9,0,0,0
"060-065",0,1,8,0,17,0,0,7,33,0,0,0
"065-070",1,10,54,0,50,0,0,29,59,0,0,0
"070-075",22,13,125,0,94,0,0,74,51,0,0,0
"075-080",96,22,104,8,121,13,0,77,37,0,0,0
"080-085",101,17,65,75,116,59,0,31,21,0,0,0
"085-090",20,27,39,97,179,122,3,15,10,0,0,0
"090-095",2,58,49,104,167,131,12,73,13,0,0,0
"095-100",0,48,64,140,181,131,62,61,5,0,0,0
"100-105",0,28,76,129,199,107,100,41,0,0,0,0
"105-110",0,21,60,95,136,147,161,42,0,0,0,0
"110-115",0,6,38,45,81,124,99,16,0,0,0,0
"115-120",0,0,10,18,24,87,25,7,0,0,0,0
"120-125",0,0,1,10,11,45,6,0,0,0,0,0
"125-130",0,0,0,0,2,4,0,0,0,0,0,0
"130-135",0,0,0,0,0,0,0,1,0,0,0,0
"135-140",0,0,0,0,0,0,0,0,0,0,0,0
"140-145",0,0,0,0,0,0,0,0,0,0,0,0
"145-150",0,0,0,0,0,0,0,0,0,0,0,0
"150-155",0,0,0,0,0,0,0,0,0,0,0,0
"155-160",0,0,0,0,0,0,0,0,0,0,0,0
